id,author,title,body
poem_0473,William Shakespeare,The Sonnets CXVI - Let me not to the marriage of true minds,"Let me not to the marriage of true minds
Admit impediments. Love is not love
Which alters when it alteration finds,
Or bends with the remover to remove:
O, no! it is an ever-fixed mark,
That looks on tempests and is never shaken;
It is the star to every wandering bark,
Whose worth's unknown, although his height be taken.
Love's not Time's fool, though rosy lips and cheeks
Within his bending sickle's compass come;
Love alters not with his brief hours and weeks,
But bears it out even to the edge of doom.
If this be error and upon me prov'd,
I never writ, nor no man ever lov'd."
poem_0085,Paul Laurence Dunbar,Dawn,"An angel, robed in spotless white,
Bent down and kissed the sleeping Night.
Night woke to blush; the sprite was gone.
Men saw the blush and called it Dawn."
poem_0156,Walt Whitman,A Farm-Picture,"Through the ample open door of the peaceful country barn,
A sun-lit pasture field, with cattle and horses feeding;
And haze, and vista, and the far horizon, fading away."
poem_0475,William Shakespeare,The Sonnets CXXX - My mistress' eyes are nothing like the sun,"My mistress' eyes are nothing like the sun;
Coral is far more red, than her lips red:
If snow be white, why then her breasts are dun;
If hairs be wires, black wires grow on her head.
I have seen roses damask'd, red and white,
But no such roses see I in her cheeks;
And in some perfumes is there more delight
Than in the breath that from my mistress reeks.
I love to hear her speak, yet well I know
That music hath a far more pleasing sound:
I grant I never saw a goddess go,
My mistress, when she walks, treads on the ground:
And yet by heaven, I think my love as rare,
As any she belied with false compare."
poem_0087,Elizabeth Barrett Browning,Grief,"I tell you, hopeless grief is passionless;
That only men incredulous of despair,
Half-taught in anguish, through the midnight air
Beat upward to God's throne in loud access
Of shrieking and reproach. Full desertness,
In souls as countries, lieth silent-bare
Under the blanching, vertical eye-glare
Of the absolute Heavens. Deep-hearted man, express
Grief for thy Dead in silence like to death
Most like a monumental statue set
In everlasting watch and moveless woe
Till itself crumble to the dust beneath.
Touch it; the marble eyelids are not wet:
If it could weep, it could arise and go."
poem_0074,Paul Laurence Dunbar,A Death Song,"Lay me down beneaf de willers in de grass,
Whah de branch 'll go a-singin' as it pass.
An' w'en I 's a-layin' low,
I kin hyeah it as it go
Singin', ""Sleep, my honey, tek yo' res' at las'.""
Lay me nigh to whah hit meks a little pool,
An' de watah stan's so quiet lak an' cool,
Whah de little birds in spring,
Ust to come an' drink an' sing,
An' de chillen waded on dey way to school.
Let me settle w'en my shouldahs draps dey load
Nigh enough to hyeah de noises in de road;
Fu' I t'ink de las' long res'
Gwine to soothe my sperrit bes'
Ef I's layin' 'mong de t'ings I's allus knowed."
poem_0077,Paul Laurence Dunbar,Ships That Pass In The Night,"Out in the sky the great dark clouds are massing;
I look far out into the pregnant night,
Where I can hear a solemn booming gun
And catch the gleaming of a random light,
That tells me that the ship I seek is passing, passing.
My tearful eyes my soul's deep hurt are glassing;
For I would hail and check that ship of ships.
I stretch my hands imploring, cry aloud,
My voice falls dead a foot from mine own lips,
And but its ghost doth reach that vessel, passing, passing.
O Earth, O Sky, O Ocean, both surpassing,
O heart of mine, O soul that dreads the dark!
Is there no hope for me? Is there no way
That I may sight and check that speeding bark
Which out of sight and sound is passing, passing?"
poem_0079,Paul Laurence Dunbar,A Song,"Thou art the soul of a summer's day,
Thou art the breath of the rose.
But the summer is fled
And the rose is dead
Where are they gone, who knows, who knows?
Thou art the blood of my heart o' hearts,
Thou art my soul's repose,
But my heart grows numb
And my soul is dumb
Where art thou, love, who knows, who knows?
Thou art the hope of my after years--
Sun for my winter snows
But the years go by
'Neath a clouded sky.
Where shall we meet, who knows, Who knows?"
poem_0080,Paul Laurence Dunbar,We Wear The Mask,"We wear the mask that grins and lies,
It hides our cheeks and shades our eyes,--
This debt we pay to human guile;
With torn and bleeding hearts we smile,
And mouth with myriad subtleties.
Why should the world be over-wise,
In counting all our tears and sighs?
Nay, let them only see us, while
We wear the mask.
We smile, but, O great Christ, our cries
To thee from tortured souls arise.
We sing, but oh the clay is vile
Beneath our feet, and long the mile;
But let the world dream otherwise,
We wear the mask!"
poem_0076,Paul Laurence Dunbar,A Song.,"On a summer's day as I sat by a stream,
A dainty maid came by,
And she blessed my sight like a rosy dream,
And left me there to sigh, to sigh,
And left me there to sigh, to sigh.
On another day as I sat by the stream,
This maiden paused a while,
Then I made me bold as I told my dream,
She heard it with a smile, a smile,
She heard it with a smile, a smile.
Oh, the months have fled and the autumn's red,
The maid no more goes by:
For my dream came true and the maid I wed,
And now no more I sigh, I sigh,
And now no more I sigh."
poem_0082,Paul Laurence Dunbar,The Debt,"This is the debt I pay
Just for one riotous day,
Years of regret and grief,
Sorrow without relief.
Pay it I will to the end--
Until the grave, my friend,
Gives me a true release--
Gives me the clasp of peace.
Slight was the thing I bought,
Small was the debt I thought,
Poor was the loan at best--
God! but the interest!"
poem_0081,Paul Laurence Dunbar,Life,"A crust of bread and a corner to sleep in,
A minute to smile and an hour to weep in,
A pint of joy to a peck of trouble,
And never a laugh but the moans come double;
And that is life!
A crust and a corner that love makes precious,
With a smile to warm and the tears to refresh us;
And joy seems sweeter when cares come after,
And a moan is the finest of foils for laughter;
And that is life!"
poem_0477,William Shakespeare,"The Sonnets CVII - Not mine own fears, nor the prophetic soul","Not mine own fears, nor the prophetic soul
Of the wide world dreaming on things to come,
Can yet the lease of my true love control,
Supposed as forfeit to a confin'd doom.
The mortal moon hath her eclipse endur'd,
And the sad augurs mock their own presage;
Incertainties now crown themselves assur'd,
And peace proclaims olives of endless age.
Now with the drops of this most balmy time,
My love looks fresh, and Death to me subscribes,
Since, spite of him, I'll live in this poor rime,
While he insults o'er dull and speechless tribes:
And thou in this shalt find thy monument,
When tyrants' crests and tombs of brass are spent."
poem_0091,Elizabeth Barrett Browning,Sonnets From The Portuguese VI,"Go from me. Yet I feel that I shall stand
Henceforward in thy shadow. Nevermore
Alone upon the threshold of my door
Of individual life, I shall command
The uses of my soul, nor lift my hand
Serenely in the sunshine as before,
Without the sense of that which I forbore
Thy touch upon the palm. The widest land
Doom takes to part us, leaves thy heart in mine
With pulses that beat double. What I do
And what I dream include thee, as the wine
Must taste of its own grapes. And when I sue
God for myself, He hears that name of thine,
And sees within my eyes the tears of two."
poem_0092,Elizabeth Barrett Browning,Sonnets From The Portuguese XXXIX,"Because thou hast the power and own'st the grace
To look through and behind this mask of me,
(Against which, years have beat thus blanchingly,
With their rains,) and behold my soul's true face,
The dim and weary witness of life's race,
Because thou hast the faith and love to see,
Through that same soul's distracting lethargy,
The patient angel waiting for a place
In the new Heavens, because nor sin nor woe,
Nor God's infliction, nor death's neighbourhood,
Nor all which others viewing, turn to go,
Nor all which makes me tired of all, self-viewed,
Nothing repels thee, . . . Dearest, teach me so
To pour out gratitude, as thou dost, good!"
poem_0095,Elizabeth Barrett Browning,Sonnets From The Portuguese XXIV,"Let the world's sharpness like a clasping knife
Shut in upon itself and do no harm
In this close hand of Love, now soft and warm,
And let us hear no sound of human strife
After the click of the shutting. Life to life,
I lean upon thee, Dear, without alarm,
And feel as safe as guarded by a charm
Against the stab of worldlings, who if rife
Are weak to injure. Very whitely still
The lilies of our lives may reassure
Their blossoms from their roots, accessible
Alone to heavenly dews that drop not fewer;
Growing straight, out of man's reach, on the hill.
God only, who made us rich, can make us poor."
poem_0094,Elizabeth Barrett Browning,Sonnets From The Portuguese XXX,"I see thine image through my tears to-night,
And yet to-day I saw thee smiling. How
Refer the cause? Belov'd, is it thou
Or I, who makes me sad? The acolyte
Amid the chanted joy and thankful rite
May so fall flat, with pale insensate brow,
On the altar-stair. I hear thy voice and vow,
Perplexed, uncertain, since thou art out of sight,
As he, in his swooning ears, the choir's amen.
Belov'd, dost thou love? or did I see all
The glory as I dreamed, and fainted when
Too vehement light dilated my ideal,
For my soul's eyes? Will that light come again,
As now these tears come, falling hot and real?"
poem_0097,Elizabeth Barrett Browning,Sonnets From The Portuguese XIX,"The soul's Rialto hath its merchandize;
I barter curl for curl upon that mart,
And from my poet's forehead to my heart
Receive this lock which outweighs argosies,
As purply black, as erst to Pindar's eyes
The dim purpureal tresses gloomed athwart
The nine white Muse-brows. For this counterpart, . . .
The bay crown's shade, Belov'd, I surmise,
Still lingers on thy curl, it is so black!
Thus, with a fillet of smooth-kissing breath,
I tie the shadows safe from gliding back,
And lay the gift where nothing hindereth;
Here on my heart, as on thy brow, to lack
No natural heat till mine grows cold in death."
poem_0099,Elizabeth Barrett Browning,Sonnets From The Portuguese XI,"And therefore if to love can be desert,
I am not all unworthy. Cheeks as pale
As these you see, and trembling knees that fail
To bear the burden of a heavy heart,
This weary minstrel-life that once was girt
To climb Aornus, and can scarce avail
To pipe now 'gainst the valley nightingale
A melancholy music, why advert
To these things? O Belov'd, it is plain
I am not of thy worth nor for thy place!
And yet, because I love thee, I obtain
From that same love this vindicating grace
To live on still in love, and yet in vain,
To bless thee, yet renounce thee to thy face."
poem_0103,Elizabeth Barrett Browning,Sonnets From The Portuguese XXVI,"I lived with visions for my company
Instead of men and women, years ago,
And found them gentle mates, nor thought to know
A sweeter music than they played to me.
But soon their trailing purple was not free
Of this world's dust, their lutes did silent grow,
And I myself grew faint and blind below
Their vanishing eyes. Then thou didst come, to be,
Belov'd, what they seemed. Their shining fronts,
Their songs, their splendours, (better, yet the same,
As river-water hallowed into fonts)
Met in thee, and from out thee overcame
My soul with satisfaction of all wants:
Because God's gifts put man's best dreams to shame."
poem_0102,Elizabeth Barrett Browning,Sonnets From The Portuguese V,"I lift my heavy heart up solemnly,
As once Electra her sepulchral urn,
And, looking in thine eyes, I over-turn
The ashes at thy feet.    Behold and see
What a great heap of grief lay hid in me,
And how the red wild sparkles dimly burn
Through the ashen greyness.    If thy foot in scorn
Could tread them out to darkness utterly,
It might be well perhaps.    But if instead
Thou wait beside me for the wind to blow
The grey dust up, . . . those laurels on thine head,
O my Belov'd, will not shield thee so,
That none of all the fires shall scorch and shred
The hair beneath.    Stand further off then! go!"
poem_0105,Elizabeth Barrett Browning,Sonnets From The Portuguese XXXI,"Thou comest! all is said without a word.
I sit beneath thy looks, as children do
In the noon-sun, with souls that tremble through
Their happy eyelids from an unaverred
Yet prodigal inward joy. Behold, I erred
In that last doubt! and yet I cannot rue
The sin most, but the occasion, that we two
Should for a moment stand unministered
By a mutual presence. Ah, keep near and close,
Thou dove-like help! and when my fears would rise,
With thy broad heart serenely interpose:
Brood down with thy divine sufficiencies
These thoughts which tremble when bereft of those,
Like callow birds left desert to the skies."
poem_0106,William Blake,The Chimney Sweeper,"A little black thing in the snow,
Crying ""weep! weep!"" in notes of woe!
""Where are thy father and mother? Say!""
""They are both gone up to the church to pray.
""Because I was happy upon the heath,
And smiled among the winter's snow,
They clothed me in the clothes of death,
And taught me to sing the notes of woe.
""And because I am happy and dance and sing,
They think they have done me no injury,
And are gone to praise God and his priest and king,
Who make up a heaven of our misery."""
poem_0107,William Blake,And Did Those Feet In Ancient Time,"And did those feet in ancient time
Walk upon England's mountains green?
And was the holy Lamb of God
On England's pleasant pastures seen?
And did the Countenance Divine
Shine forth upon our clouded hills?
And was Jerusalem builded here
Among these dark satanic mills?
Bring me my bow of burning gold!
Bring me my arrows of desire!
Bring me my spear! O clouds, unfold!
Bring me my chariot of fire!
I will not cease from mental fight,
Nor shall my sword sleep in my hand,
Till we have built Jerusalem
In England's green and pleasant land."
poem_0110,William Blake,London,"I wandered through each chartered street,
Near where the chartered Thames does flow,
A mark in every face I meet,
Marks of weakness, marks of woe.
In every cry of every man,
In every infant's cry of fear,
In every voice, in every ban,
The mind-forged manacles I hear:
How the chimney-sweeper's cry
Every blackening church appalls,
And the hapless soldier's sigh
Runs in blood down palace-walls.
But most, through midnight streets I hear
How the youthful harlot's curse
Blasts the new-born infant's tear,
And blights with plagues the marriage-hearse."
poem_0112,William Blake,Holy Thursday,"Is this a holy thing to see
In a rich and fruitful land,
Babes reduced to misery,
Fed with cold and usurous hand?
Is that trembling cry a song?
Can it be a song of joy?
And so many children poor?
It is a land of poverty!
And their son does never shine,
And their fields are bleak and bare,
And their ways are filled with thorns:
It is eternal winter there.
For where'er the sun does shine,
And where'er the rain does fall,
Babes should never hunger there,
Nor poverty the mind appall."
poem_0499,Alfred Lord Tennyson,"Break, Break, Break","Break, break, break,
On thy cold gray stones, O Sea!
And I would that my tongue could utter
The thoughts that arise in me.
O, well for the fisherman's boy,
That he shouts with his sister at play!
O, well for the sailor lad,
That he sings in his boat on the bay!
And the stately ships go on
To their haven under the hill;
But O for the touch of a vanished hand,
And the sound of a voice that is still!
Break, break, break,
At the foot of thy crags, O Sea!
But the tender grace of a day that is dead
Will never come back to me."
poem_0115,William Blake,A Cradle Song,"Sleep, sleep, beauty bright,
Dreaming in the joys of night;
Sleep, sleep; in thy sleep
Little sorrows sit and weep.
Sweet babe, in thy face
Soft desires I can trace,
Secret joys and secret smiles,
Little pretty infant wiles.
As thy softest limbs I feel,
Smiles as of the morning steal
O'er thy cheek, and o'er thy breast
Where thy little heart doth rest.
O the cunning wiles that creep
In thy little heart asleep!
When thy little heart doth wake,
Then the dreadful light shall break."
poem_0117,William Blake,The Echoing Green,"The sun does arise,
And make happy the skies;
The merry bells ring
To welcome the Spring;
The skylark and thrush,
The birds of the bush,
Sing louder around
To the bells' cheerful sound;
While our sports shall be seen
On the echoing Green.
Old John, with white hair,
Does laugh away care,
Sitting under the oak,
Among the old folk.
They laugh at our play,
And soon they all say,
""Such, such were the joys
When we all--girls and boys--
In our youth-time were seen
On the echoing Green.""
Till the little ones, weary,
No more can be merry:
The sun does descend,
And our sports have an end.
Round the laps of their mothers
Many sisters and brothers,
Like birds in their nest,
Are ready for rest,
And sport no more seen
On the darkening green."
poem_0118,William Blake,The Tiger,"Tiger, tiger, burning bright
In the forests of the night,
What immortal hand or eye
Could frame thy fearful symmetry?
In what distant deeps or skies
Burnt the fire of thine eyes?
On what wings dare he aspire?
What the hand dare seize the fire?
And what shoulder and what art
Could twist the sinews of thy heart?
And, when thy heart began to beat,
What dread hand and what dread feet?
What the hammer? what the chain?
In what furnace was thy brain?
What the anvil? what dread grasp
Dare its deadly terrors clasp?
When the stars threw down their spears,
And watered heaven with their tears,
Did He smile His work to see?
Did He who made the lamb make thee?
Tiger, tiger, burning bright
In the forests of the night,
What immortal hand or eye
Dare frame thy fearful symmetry?"
poem_0119,William Blake,The Divine Image,"To Mercy, Pity, Peace, and Love,
All pray in their distress,
And to these virtues of delight
Return their thankfulness.
For Mercy, Pity, Peace, and Love,
Is God our Father dear;
And Mercy, Pity, Peace, and Love,
Is man, His child and care.
For Mercy has a human heart;
Pity, a human face;
And Love, the human form divine:
And Peace the human dress.
Then every man, of every clime,
That prays in his distress,
Prays to the human form divine:
Love, Mercy, Pity, Peace.
And all must love the human form,
In heathen, Turk, or Jew.
Where Mercy, Love, and Pity dwell,
There God is dwelling too."
poem_0122,William Blake,Infant Joy,"""I have no name;
I am but two days old.""
What shall I call thee?
""I happy am,
Joy is my name.""
Sweet joy befall thee!
Pretty joy!
Sweet joy, but two days old.
Sweet Joy I call thee:
Thou dost smile,
I sing the while;
Sweet joy befall thee!"
poem_0125,William Blake,Ah Sunflower,"Ah Sunflower, weary of time,
Who countest the steps of the sun;
Seeking after that sweet golden clime
Where the traveller's journey is done;
Where the Youth pined away with desire,
And the pale virgin shrouded in snow,
Arise from their graves, and aspire
Where my Sunflower wishes to go!
"
poem_0123,William Blake,The Clod And The Pebble,"""Love seeketh not itself to please,
Nor for itself hath any care,
But for another gives it ease,
And builds a heaven in hell's despair.""
So sang a little clod of clay,
Trodden with the cattle's feet,
But a pebble of the brook
Warbled out these metres meet:
""Love seeketh only Self to please,
To bind another to its delight,
Joys in another's loss of ease,
And builds a hell in heaven's despite."""
poem_0126,Stephen Crane,"Man, The","A man said to the universe,
""Sir, I exist!""
""However,"" replied the universe,
""The fact has not created in me
A sense of obligation."""
poem_0140,Walt Whitman,A Noiseless Patient Spider,"A noiseless, patient spider,
I mark'd, where, on a little promontory, it stood, isolated;
Mark'd how, to explore the vacant, vast surrounding,
It launch'd forth filament, filament, filament, out of itself;
Ever unreeling them--ever tirelessly speeding them.
And you, O my Soul, where you stand,
Surrounded, surrounded, in measureless oceans of space,
Ceaselessly musing, venturing, throwing,--seeking the spheres, to
connect them;
Till the bridge you will need, be form'd--till the ductile anchor
hold;
Till the gossamer thread you fling, catch somewhere, O my Soul."
poem_0153,Walt Whitman,The Runner,"On a flat road runs the well-train'd runner;
He is lean and sinewy, with muscular legs;
He is thinly clothed he leans forward as he runs,
With lightly closed fists, and arms partially rais'd."
poem_0508,Alfred Lord Tennyson,"Come Not, When I Am Dead","Come not, when I am dead,
To drop thy foolish tears upon my grave,
To trample round my fallen head,
And vex the unhappy dust thou wouldst not save.
There let the wind sweep and the plover cry;
But thou, go by.
Child, if it were thine error or thy crime
I care no longer, being all unblest:
Wed whom thou wilt, but I am sick of Time,
And I desire to rest.
Pass on, weak heart, and leave me where I lie:
Go by, go by. "
poem_0142,Walt Whitman,O Captain! My Captain!,"O Captain! my Captain! our fearful trip is done;
The ship has weather'd every rack, the prize we sought is won;
The port is near, the bells I hear, the people all exulting,
While follow eyes the steady keel, the vessel grim and daring:
But O heart! heart! heart!
O the bleeding drops of red,
Where on the deck my Captain lies,
Fallen cold and dead.
O Captain! my Captain! rise up and hear the bells;
Rise up - for you the flag is flung - for you the bugle trills;
For you bouquets and ribbon'd wreaths - for you the shores a-crowding;
For you they call, the swaying mass, their eager faces turning;
Here Captain! dear father!
This arm beneath your head;
It is some dream that on the deck,
You've fallen cold and dead.
My Captain does not answer, his lips are pale and still;
My father does not feel my arm, he has no pulse nor will;
The ship is anchor'd safe and sound, its voyage closed and done;
From fearful trip, the victor ship, comes in with object won;
Exult, O shores, and ring, O bells!
But I, with mournful tread,
Walk the deck my Captain lies,
Fallen cold and dead."
poem_0143,Walt Whitman,To A Locomotive In Winter,"Thee for my recitative!
Thee in the driving storm, even as now the snow the winter-day declining;
Thee in thy panoply, thy measured dual throbbing, and thy beat convulsive;
Thy black cylindric body, golden brass, and silvery steel;
Thy ponderous side-bars, parallel and connecting rods, gyrating, shuttling at thy sides;
Thy metrical, now swelling pant and roar now tapering in the distance;
Thy great protruding head-light, fix'd in front;
Thy long, pale, floating vapor-pennants, tinged with delicate purple;
The dense and murky clouds out-belching from thy smoke-stack;
Thy knitted frame thy springs and valves the tremulous twinkle of thy wheels;
Thy train of cars behind, obedient, merrily-following,
Through gale or calm, now swift, now slack, yet steadily careering:
Type of the modern! emblem of motion and power! pulse of the continent!
For once, come serve the Muse, and merge in verse, even as here I see thee,
With storm, and buffeting gusts of wind, and falling snow;
By day, thy warning, ringing bell to sound its notes,
By night, thy silent signal lamps to swing.
Fierce-throated beauty!
Roll through my chant, with all thy lawless music! thy swinging lamps at night;
Thy piercing, madly-whistled laughter! thy echoes, rumbling like an earthquake, rousing all!
Law of thyself complete, thine own track firmly holding;
(No sweetness debonair of tearful harp or glib piano thine,)
Thy trills of shrieks by rocks and hills return'd,
Launch'd o'er the prairies wide across the lakes,
To the free skies, unpent, and glad, and strong."
